run_no,best_fitness,genotype_hash,timestamp
12,3651.9138,1*1*0*1*1*1*1*1*0*1*1*1*0*0*0*0*0*0*0*1,0
12,3117.9653,0*1*0*0*0*1*1*1*1*1*1*1*1*0*1*1*1*0*1*0,5
12,3069.2607,0*1*0*0*0*1*1*1*1*1*1*1*1*0*1*1*1*0*1*0,10
12,3063.5486,0*1*0*0*0*1*1*1*1*1*1*1*1*0*1*1*1*0*1*0,15
12,3058.0405,0*1*0*0*0*1*1*1*1*1*1*1*1*0*1*1*1*0*1*0,20
12,3052.9912,0*1*0*0*0*1*1*1*1*1*1*1*1*0*1*1*1*0*1*0,25
12,3039.08,0*1*0*0*0*1*1*1*1*1*1*1*1*0*1*1*1*0*1*0,30
12,3020.417,0*1*0*0*0*1*1*1*1*1*1*1*1*0*1*1*1*0*1*0,35
12,3008.295,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,40
12,3003.4429,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,45
12,3002.026,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,50
12,2999.8699,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,55
12,2998.9495,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,60
12,2997.4158,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,65
12,2996.699,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,70
12,2996.3699,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,75
12,2996.3555,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,80
12,2996.228,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,85
12,2996.168,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,90
12,2996.1335,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,95
12,2996.0989,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,100
12,2991.736,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,105
12,2991.7258,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,110
12,2991.659,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,115
12,2991.3538,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,120
12,2991.1243,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,125
12,2990.9736,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,130
12,2990.2896,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,135
12,2989.9658,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,140
12,2989.8657,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,145
12,2989.852,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,150
12,2989.8496,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,155
12,2989.7502,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,160
12,2989.7375,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,165
12,2989.7217,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,175
12,2989.6816,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,185
12,2989.558,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,190
12,2989.5474,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,195
12,2989.5415,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,200
12,2989.5388,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,205
12,2989.5386,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,210
12,2989.516,0*1*0*0*0*1*1*1*1*1*1*1*2*0*1*1*1*0*1*0,220
13,3713.6294,0*1*0*2*1*1*0*1*1*1*0*0*1*0*1*1*0*1*0*1,0
13,3321.46,0*0*0*1*1*0*1*1*0*1*0*1*1*0*1*1*1*1*1*1,5
13,3286.4763,0*0*0*1*1*0*1*1*0*1*0*1*1*0*1*1*1*1*1*1,10
13,3276.0022,0*0*0*1*1*0*1*1*0*1*0*1*1*0*1*1*1*1*1*1,15
13,3272.312,0*0*0*1*1*0*1*1*0*1*0*1*1*0*1*2*1*1*1*1,20
13,3118.3813,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,25
13,3094.914,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,30
13,3089.1804,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,35
13,3077.7444,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,40
13,3066.7498,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,45
13,3057.345,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,50
13,3051.3997,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,55
13,3049.5945,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,60
13,3045.09,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,65
13,3042.8208,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,70
13,3039.7751,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,75
13,3036.924,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,80
13,3035.9912,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,85
13,3035.7085,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,90
13,3034.697,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,95
13,3033.915,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,100
13,3033.6477,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,105
13,3032.3618,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,110
13,3031.9456,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,115
13,3031.4036,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,120
13,3031.1775,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,125
13,3030.3145,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,130
13,3029.94,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,135
13,3029.692,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,140
13,3029.6692,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,145
13,3029.6528,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,150
13,3029.6177,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,155
13,3029.5967,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,160
13,3029.4246,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,165
13,3029.3523,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,170
13,3029.3093,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,175
13,3029.1711,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,180
13,3029.128,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,185
13,3028.9,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,190
13,3028.7412,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,195
13,3028.7253,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,200
13,3028.7085,0*0*0*0*0*1*1*1*1*1*0*1*1*0*1*0*1*1*1*1,210
14,3121.135,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,0
14,3059.1777,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,5
14,3032.077,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,10
14,2988.3818,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,15
14,2975.939,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,20
14,2964.5186,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*2*0,25
14,2954.006,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*2*0,30
14,2944.5203,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*2*0,35
14,2937.194,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,40
14,2934.498,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,45
14,2932.8298,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,50
14,2932.1956,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,55
14,2931.1567,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,60
14,2929.986,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,65
14,2928.9265,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,70
14,2928.6582,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,75
