 Time_Seconds Best_Fitness
2548 12745.0 110955
2552 12765.0 110955
2556 12785.0 110868
2560 12805.0 110800
2564 12825.0 110771
2568 12845.0 110771
2572 12865.0 110589
2576 12885.0 110589
2580 12905.0 110589
2584 12925.0 110358
2588 12945.0 110235
2592 12965.0 110200
2596 12985.0 110173
2600 13005.0 109975
2604 13025.0 109955
2608 13045.0 109757
2612 13065.0 109757
2616 13085.0 109697
2620 13105.0 109677
2624 13125.0 109677
2628 13145.0 109677
2632 13165.0 109677
2636 13185.0 109677
2640 13205.0 109677
2644 13225.0 109677
2648 13245.0 109677
2652 13265.0 109428
2656 13285.0 109428
2660 13305.0 109428
2664 13325.0 109180
2668 13345.0 108861
2672 13365.0 108741
2676 13385.0 108741
2680 13405.0 108741
2684 13425.0 108592
2688 13445.0 108482
2692 13465.0 108482
2696 13485.0 108124
2700 13505.0 108124
2704 13525.0 108124
2708 13545.0 108124
2712 13565.0 108124
2716 13585.0 108124
2720 13605.0 108124
2724 13625.0 108124
2728 13645.0 108124
2732 13665.0 108124
2736 13685.0 108124
2740 13705.0 108124
2744 13725.0 108124
2748 13745.0 108124
2752 13765.0 108039
2756 13785.0 108033
2760 13805.0 108033
2764 13825.0 107967
2768 13845.0 107967
2772 13865.0 107738
2776 13885.0 107587
2780 13905.0 107587
2784 13925.0 107587
2788 13945.0 107587
2792 13965.0 107587
2796 13985.0 107587
2800 14005.0 107587
2804 14025.0 107587
2808 14045.0 107587
2812 14065.0 107408
2816 14085.0 107408
2820 14105.0 107408
2824 14125.0 107408
2828 14145.0 107408
2832 14165.0 107408
2836 14185.0 107408
2840 14205.0 107408
2844 14225.0 107408
2848 14245.0 107408
2852 14265.0 107408
2856 14285.0 106592
2860 14305.0 106464
2864 14325.0 106464
2868 14345.0 106459
2872 14365.0 106064
2876 14385.0 106064
2880 14405.0 106064
2884 14425.0 105955
2888 14445.0 105887
2892 14465.0 105887
2896 14485.0 105887
2900 14505.0 105887
2904 14525.0 105887
2908 14545.0 105887
2912 14565.0 105887
2916 14585.0 105887
2920 14605.0 105887
2924 14625.0 105887
2928 14645.0 105887
2932 14665.0 105887
2936 14685.0 105887
2940 14705.0 105887
2944 14725.0 105887
2948 14745.0 105887
2952 14765.0 105887
2956 14785.0 105887
2960 14805.0 105887
2964 14825.0 105887
2968 14845.0 105887
2972 14865.0 105887
2976 14885.0 105887
2980 14905.0 105887
2984 14925.0 105887
2988 14945.0 105887
2992 14965.0 105887
2996 14985.0 105887
3000 15005.0 105887
