 Time_Seconds Best_Fitness
1412 7065.0 45200.0
1416 7085.0 45200.0
1420 7105.0 45200.0
1424 7125.0 45200.0
1428 7145.0 45200.0
1432 7165.0 45200.0
1436 7185.0 45200.0
1440 7205.0 45200.0
1444 7225.0 45200.0
1448 7245.0 45200.0
1452 7265.0 45200.0
1456 7285.0 45200.0
1460 7305.0 45200.0
1464 7325.0 45200.0
1468 7345.0 45200.0
1472 7365.0 45200.0
1476 7385.0 45200.0
1480 7405.0 45200.0
1484 7425.0 45200.0
1488 7445.0 45200.0
1492 7465.0 45200.0
1496 7485.0 45200.0
1500 7505.0 45200.0
1504 7525.0 45192.0
1508 7545.0 45192.0
1512 7565.0 45192.0
1516 7585.0 45192.0
1520 7605.0 45192.0
1524 7625.0 45192.0
1528 7645.0 45192.0
1532 7665.0 45192.0
1536 7685.0 45192.0
1540 7705.0 45192.0
1544 7725.0 45192.0
1548 7745.0 45192.0
1552 7765.0 45192.0
1556 7785.0 45192.0
1560 7805.0 45192.0
1564 7825.0 45192.0
1568 7845.0 45192.0
1572 7865.0 45192.0
1576 7885.0 45192.0
1580 7905.0 45192.0
1584 7925.0 45192.0
1588 7945.0 45192.0
1592 7965.0 45192.0
1596 7985.0 45192.0
1600 8005.0 45192.0
1604 8025.0 45192.0
1608 8045.0 45192.0
1612 8065.0 45192.0
1616 8085.0 45192.0
1620 8105.0 45192.0
1624 8125.0 45192.0
1628 8145.0 45192.0
1632 8165.0 45192.0
1636 8185.0 45192.0
1640 8205.0 45192.0
1644 8225.0 45192.0
1648 8245.0 45192.0
1652 8265.0 45192.0
1656 8285.0 45192.0
1660 8305.0 45192.0
1664 8325.0 45191.0
1668 8345.0 45191.0
1672 8365.0 45191.0
1676 8385.0 45191.0
1680 8405.0 45191.0
1684 8425.0 45191.0
1688 8445.0 45191.0
1692 8465.0 45191.0
1696 8485.0 45191.0
1700 8505.0 45191.0
1704 8525.0 45191.0
1708 8545.0 45191.0
1712 8565.0 45191.0
1716 8585.0 45191.0
1720 8605.0 45191.0
1724 8625.0 45191.0
1728 8645.0 45191.0
1732 8665.0 45191.0
1736 8685.0 45191.0
1740 8705.0 45191.0
1744 8725.0 45191.0
1748 8745.0 45191.0
1752 8765.0 45191.0
1756 8785.0 45191.0
1760 8805.0 45191.0
1764 8825.0 45191.0
1768 8845.0 45191.0
1772 8865.0 45191.0
1776 8885.0 45191.0
1780 8905.0 45191.0
1784 8925.0 45191.0
1788 8945.0 45191.0
1792 8965.0 45191.0
1796 8985.0 45191.0
1800 9005.0 45191.0
1804 9025.0 45191.0
1808 9045.0 45191.0
1812 9065.0 45191.0
1816 9085.0 45191.0
1820 9105.0 45191.0
1824 9125.0 45191.0
1828 9145.0 45191.0
1832 9165.0 45191.0
1836 9185.0 45191.0
1840 9205.0 45191.0
1844 9225.0 45191.0
1848 9245.0 45191.0
1852 9265.0 45191.0
1856 9285.0 45191.0
1860 9305.0 45191.0
1864 9325.0 45191.0
1868 9345.0 45191.0
1872 9365.0 45191.0
1876 9385.0 45191.0
1880 9405.0 45191.0
1884 9425.0 45191.0
1888 9445.0 45191.0
1892 9465.0 45191.0
1896 9485.0 45191.0
1900 9505.0 45191.0
1904 9525.0 45191.0
1908 9545.0 45191.0
1912 9565.0 45191.0
1916 9585.0 45191.0
1920 9605.0 45191.0
1924 9625.0 45191.0
1928 9645.0 45191.0
1932 9665.0 45191.0
1936 9685.0 45182.0
1940 9705.0 45175.0
1944 9725.0 45085.0
1948 9745.0 45013.0
1952 9765.0 44960.0
1956 9785.0 44960.0
1960 9805.0 44864.0
1964 9825.0 44792.0
1968 9845.0 44784.0
1972 9865.0 44782.0
1976 9885.0 44692.0
1980 9905.0 44689.0
1984 9925.0 44629.0
1988 9945.0 44584.0
1992 9965.0 44503.0
1996 9985.0 44402.0
2000 10005.0 44344.0
2004 10025.0 44318.0
2008 10045.0 44030.0
2012 10065.0 43897.0
2016 10085.0 43783.0
2020 10105.0 43759.0
2024 10125.0 43752.0
2028 10145.0 43734.0
2032 10165.0 43734.0
2036 10185.0 43734.0
2040 10205.0 43734.0
2044 10225.0 43734.0
2048 10245.0 43734.0
2052 10265.0 43734.0
2056 10285.0 43734.0
2060 10305.0 43734.0
2064 10325.0 43734.0
2068 10345.0 43734.0
2072 10365.0 43734.0
2076 10385.0 43734.0
2080 10405.0 43734.0
2084 10425.0 43734.0
2088 10445.0 43734.0
2092 10465.0 43734.0
2096 10485.0 43734.0
2100 10505.0 43734.0
2104 10525.0 43734.0
2108 10545.0 43734.0
2112 10565.0 43734.0
2116 10585.0 43734.0
2120 10605.0 43734.0
2124 10625.0 43734.0
2128 10645.0 43734.0
2132 10665.0 43734.0
2136 10685.0 43734.0
2140 10705.0 43734.0
2144 10725.0 43734.0
2148 10745.0 43734.0
2152 10765.0 43734.0
2156 10785.0 43734.0
2160 10805.0 43734.0
2164 10825.0 43734.0
2168 10845.0 43734.0
2172 10865.0 43734.0
2176 10885.0 43734.0
2180 10905.0 43734.0
2184 10925.0 43734.0
2188 10945.0 43734.0
2192 10965.0 43734.0
2196 10985.0 43734.0
2200 11005.0 43734.0
2204 11025.0 43734.0
2208 11045.0 43734.0
2212 11065.0 43734.0
2216 11085.0 43734.0
2220 11105.0 43734.0
2224 11125.0 43734.0
2228 11145.0 43734.0
2232 11165.0 43734.0
2236 11185.0 43734.0
2240 11205.0 43734.0
2244 11225.0 43734.0
2248 11245.0 43734.0
2252 11265.0 43734.0
2256 11285.0 43734.0
2260 11305.0 43734.0
2264 11325.0 43734.0
2268 11345.0 43734.0
2272 11365.0 43734.0
2276 11385.0 43734.0
2280 11405.0 43734.0
2284 11425.0 43734.0
2288 11445.0 43734.0
2292 11465.0 43734.0
2296 11485.0 43734.0
2300 11505.0 43734.0
2304 11525.0 43734.0
2308 11545.0 43734.0
2312 11565.0 43734.0
2316 11585.0 43734.0
2320 11605.0 43734.0
2324 11625.0 43734.0
2328 11645.0 43734.0
2332 11665.0 43734.0
2336 11685.0 43734.0
2340 11705.0 43734.0
2344 11725.0 43734.0
2348 11745.0 43734.0
2352 11765.0 43734.0
2356 11785.0 43734.0
2360 11805.0 43734.0
2364 11825.0 43734.0
2368 11845.0 43734.0
2372 11865.0 43734.0
2376 11885.0 43734.0
2380 11905.0 43734.0
2384 11925.0 43734.0
2388 11945.0 43734.0
2392 11965.0 43734.0
2396 11985.0 43716.0
2400 12005.0 43714.0
2404 12025.0 43714.0
2408 12045.0 43714.0
2412 12065.0 43714.0
2416 12085.0 43714.0
2420 12105.0 43714.0
2424 12125.0 43714.0
